Week,US 30-Year
3/5/20,3.29
3/12/20,3.36
3/19/20,3.65
3/26/20,3.5
4/2/20,3.33
4/9/20,3.33
4/16/20,3.31
4/23/20,3.33
4/30/20,3.23
5/7/20,3.26
5/14/20,3.28
5/21/20,3.24
5/28/20,3.15
6/4/20,3.18
6/11/20,3.21
6/18/20,3.13
6/25/20,3.13
7/2/20,3.07
7/9/20,3.03
7/16/20,2.98
7/23/20,3.01
7/30/20,2.99
8/6/20,2.88
8/13/20,2.96
8/20/20,2.99
8/27/20,2.91
9/3/20,2.93
9/10/20,2.86
9/17/20,2.87
9/24/20,2.9
10/1/20,2.88
10/8/20,2.87
10/15/20,2.81
10/22/20,2.8
10/29/20,2.81
11/5/20,2.78
11/12/20,2.84
11/19/20,2.72
11/25/20,2.72
12/3/20,2.71
12/10/20,2.71
12/17/20,2.67
12/24/20,2.66
12/31/20,2.67
1/7/21,2.65
1/14/21,2.79
1/21/21,2.77
1/28/21,2.73
2/4/21,2.73
2/11/21,2.73
2/18/21,2.81
2/25/21,2.97
3/4/21,3.02
3/11/21,3.05
3/18/21,3.09